#,Name,Date
1.0,a18.1 MORRIS WILLIAMS,"Sun, Mar 01"
2.0,a18.2 AUSTIN KICKOFF | ShadowGlen,"Sat, Mar 14"
3.0,a9.1 Star Ranch,"Tue, Mar 17"
4.0,Two Man VAALER CREEK | Round 1,"Sat, Mar 21"
5.0,Two Man VAALER CREEK | Round 2,"Sun, Mar 22"
6.0,a9.2 Teravista,"Tue, Mar 24"
7.0,a9.3 Avery Ranch,"Tue, Mar 31"
8.0,a9.4 Avery Ranch,"Tue, Apr 07"
9.0,a18 LANDA PARK,"Sat, Apr 11"
10.0,a9.5 Star Ranch,"Tue, Apr 14"
11.0,a9.6 ShadowGlen (RAIN OUT),"Tue, Apr 21"
12.0,a9.7 Teravista,"Tue, Apr 28"
13.0,a9.8 Avery Ranch,"Tue, May 05"
14.0,a9.9 Shadowglen,"Tue, May 12"
15.0,HILL COUNTRY MATCHES | Comanche Trace,"Sat, May 16"
16.0,a9.10 Star Ranch,"Tue, May 19"
17.0,a9.11 Riverside,"Tue, May 26"
18.0,a18.3 CRYSTAL FALLS,"Sat, May 30"
19.0,a9.12 Roy Kizer,"Tue, Jun 02"
20.0,a9.13 Star Ranch,"Tue, Jun 09"
21.0,a9.14 Avery Ranch,"Tue, Jun 16"
22.0,a9.15 Teravista,"Tue, Jun 23"
23.0,a18 KISSING TREE,"Sat, Jun 27"
24.0,a9.16 Shadowglen,"Tue, Jun 30"
25.0,a9.17 Falconhead,"Tue, Jul 07"
26.0,a9.18 Forest Creek,"Tue, Jul 14"
27.0,s18.8 VAALER CREEK,"Sat, Jul 18"
28.0,a9.19 Teravista,"Tue, Jul 21"
29.0,a9.20 Avery Ranch,"Tue, Jul 28"
30.0,a18.4 AUSTIN CHAMPIONSHIP | Falconhead,"Sat, Aug 01"
31.0,20th TGF CHAMPIONSHIP | Lost Pines | Round 1,"Sat, Aug 15"
32.0,20th TGF CHAMPIONSHIP | Lost Pines | Round 2,"Sun, Aug 16"
33.0,FALL KICKOFF | TBD,"Sat, Aug 29"
34.0,LONE STAR CUP | The Hideout | Practice Round,"Fri, Oct 09"
35.0,LONE STAR CUP | The Hideout | FOURBALL,"Sat, Oct 10"
36.0,LONE STAR CUP | The Hideout | FOURSOMES,"Sat, Oct 10"
37.0,LONE STAR CUP | The Hideout | SINGLES,"Sun, Oct 11"
