#,Name,Date
1.0,s18.1 CEDAR CREEK (postponed),"Sat, Jan 11"
2.0,s18.1 CEDAR CREEK,"Sat, Jan 18"
3.0,s18.2 OLYMPIA HILLS,"Sat, Feb 01"
5.0,s18.3 LaCANTERA,"Sun, Feb 23"
6.0,Two Man SHADOWGLEN (One Day),"Sat, Mar 01"
7.0,TGF ROAD TRIP to LAJITAS - Round 1,"Wed, Mar 05"
8.0,TGF ROAD TRIP to LAJITAS - Round 2,"Thu, Mar 06"
9.0,TGF ROAD TRIP to LAJITAS - Round 3,"Fri, Mar 07"
10.0,San Antonio Kickoff | BRACKENRIDGE,"Sun, Mar 16"
11.0,s9.1 THE QUARRY front+,"Tue, Mar 18"
12.0,s9.2 SILVERHORN front+,"Tue, Mar 25"
13.0,s9.3 THE QUARRY back+,"Tue, Apr 01"
14.0,s9.4 SILVERHORN front+,"Tue, Apr 08"
15.0,s9.5 CEDAR CREEK front+,"Tue, Apr 15"
16.0,s9.6 GOLF CLUB OF TEXAS front+,"Tue, Apr 22"
17.0,s18.5 VAALER CREEK,"Sat, Apr 26"
18.0,s9.7 NORTHERN HILLS front,"Tue, Apr 29"
19.0,Two Man Challenge TERAVISTA,"Sun, May 04"
20.0,s9.8 CANYON SPRINGS front+,"Tue, May 06"
21.0,s9.9 OLYMPIA HILLS front+,"Tue, May 13"
22.0,HILL COUNTRY MATCHES - Round 1,"Sat, May 17"
23.0,HILL COUNTRY MATCHES - Round 2,"Sat, May 17"
24.0,HILL COUNTRY MATCHES - Round 3,"Sat, May 17"
25.0,s9.10 TPC SAN ANTONIO OAKS front+,"Tue, May 20"
26.0,s18.6 CEDAR CREEK,"Sat, May 24"
27.0,s9.11 THE QUARRY front+,"Tue, May 27"
28.0,s9.12 CANYON SPRINGS front+,"Tue, Jun 03"
29.0,s18.7 KISSING TREE,"Sat, Jun 07"
30.0,s9.13 SILVERHORN back+,"Tue, Jun 10"
31.0,s9.14 THE QUARRY back+,"Tue, Jun 17"
32.0,Two Man VAALER CREEK - Round 1,"Sat, Jun 21"
33.0,Two Man VAALER CREEK - Round 2,"Sun, Jun 22"
34.0,s9.15 SILVERHORN front+,"Tue, Jun 24"
35.0,as18 DELAWARE SPRINGS,"Sat, Jun 28"
36.0,s9.16 BRACKENRIDGE back+,"Tue, Jul 01"
37.0,s9.17 OLYMPIA HILLS back,"Tue, Jul 08"
38.0,s9.18 CEDAR CREEK front,"Tue, Jul 15"
39.0,s9.19 GOLF CLUB OF TEXAS back+,"Tue, Jul 22"
40.0,s9.20 RIVERSIDE back,"Tue, Jul 29"
41.0,SAN ANTONIO CHAMPIONSHIP @ CANYON SPRINGS,"Sat, Aug 02"
42.0,19th TGF CHAMPIONSHIP @ HYATT LOST PINES - Round 1,"Sat, Aug 09"
43.0,19th TGF CHAMPIONSHIP @ HYATT LOST PINES - Round 2,"Sun, Aug 10"
44.0,Match Play ROUND 1,"Tue, Aug 12"
45.0,Two Man TPC SAN ANTONIO - Round 1,"Sat, Aug 16"
46.0,Two Man TPC SAN ANTONIO - Round 2,"Sun, Aug 17"
47.0,Match Play ROUND 1,"Mon, Aug 18"
48.0,Match Play SEMIFINALS,"Tue, Aug 19"
49.0,FALL KICKOFF @ VAALER CREEK,"Sat, Aug 23"
50.0,s9.21 NORTHERN HILLS back+,"Tue, Aug 26"
51.0,s9.22 SILVERHORN front+,"Tue, Sep 02"
52.0,s9.23 CANYON SPRINGS front,"Tue, Sep 09"
53.0,s18.11 DELAWARE SPRINGS,"Sat, Sep 13"
54.0,s9.24 SILVERHORN back+,"Tue, Sep 16"
55.0,s9.25 RIVERSIDE front,"Tue, Sep 23"
56.0,s9.26 BRACKENRIDGE front,"Tue, Sep 30"
57.0,a18.4 FALCONHEAD,"Sat, Oct 04"
58.0,s9.27 CEDAR CREEK back+,"Tue, Oct 07"
59.0,s9.28 THE QUARRY front+,"Tue, Oct 14"
60.0,5th LONE STAR CUP @ SQUAW VALLEY - Day 1,"Sat, Oct 18"
61.0,5th LONE STAR CUP @ SQUAW VALLEY - Day 2,"Sun, Oct 19"
62.0,s9.29 BRACKENRIDGE back,"Tue, Oct 21"
63.0,s9.30 THE QUARRY back+,"Tue, Oct 28"
64.0,FALL CHAMPIONSHIP @ KISSING TREE,"Sat, Nov 01"
65.0,s18.13 THE BANDIT,"Sat, Nov 15"
